Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
CALVERTTX.GOV,City,Non-Federal Agency,City of Calvert,Calvert,TX,admin@calvertcity.org,null,,,,,,,,,,,
CAMBRIDGEMA.GOV,City,Non-Federal Agency,"""City of Cambridge"," Ma""",Cambridge,MA,DMARC1,quarantine,quarantine,100,r,r,1,mailto:ivrhmxnn@fr.dmarcian.com,mailto:ivrhmxnn@ag.dmarcian.com,afrf,86400,
CAMBRIDGENY.GOV,City,Non-Federal Agency,The Village of Cambridge,Cambridge,NY,jameswsweeney@gmail.com,DMARC1,reject,reject,100,s,r,1,"mailto:6d133074e5@ruf.easydmarc.us,mailto:support@cambridgeny.gov",mailto:6d133074e5@rua.easydmarc.us,afrf,86400,
CAMBRIDGETOWNSHIPMI.GOV,City,Non-Federal Agency,Cambridge Township,Onsted,MI,annettemroesch@gmail.com,null,,,,,,,,,,,
CAMBRIDGEWI.GOV,City,Non-Federal Agency,Village of Cambridge,Cambridge,WI,domain@ci.cambridge.wi.us,null,,,,,,,,,,,
CAMDENMAINE.GOV,City,Non-Federal Agency,Town of Camden,Camden,ME,acaler@camdenmaine.gov,null,,,,,,,,,,,
CAMDENNY.GOV,City,Non-Federal Agency,Town of Camden,Camden,NY,camdenbookkeeper@gmail.com,null,,,,,,,,,,,
CAMDENTN.GOV,City,Non-Federal Agency,City Of Camden,Camden,TN,bpw@brianpwilliams.com,null,,,,,,,,,,,
CAMERONWV.GOV,City,Non-Federal Agency,City of Cameron,Cameron,WV,support@omniperforms.com,null,,,,,,,,,,,
CAMPBELLCA.GOV,City,Non-Federal Agency,City of Campbell,Campbell,CA,MIS@CAMPBELLCA.GOV,null,,,,,,,,,,,
CAMPBELLOHIO.GOV,City,Non-Federal Agency,City of Campbell Ohio,Campbell,OH,(blank),null,,,,,,,,,,,
CAMPTONNH.GOV,City,Non-Federal Agency,Town of Campton - Admin,Campton,NH,tech@lakesregioncomputer.com,null,,,,,,,,,,,
CANALWINCHESTEROHIO.GOV,City,Non-Federal Agency,City of Canal Winchester,Canal Winchester,OH,rbrown@canalwinchesterohio.gov,DMARC1,quarantine,quarantine,100,r,r,0,mailto:rbrown@canalwinchesterohio.gov,mailto:rbrown@canalwinchesterohio.gov,afrf,86400,
CANANDAIGUANEWYORK.GOV,City,Non-Federal Agency,City of Canandaigua,Canandaigua,NY,(blank),DMARC1,none,none,100,r,r,1,mailto:ruf+canandaiguanewyork.gov@dmarc.barracudanetworks.com,mailto:rua+canandaiguanewyork.gov@dmarc.barracudanetworks.com,afrf,86400,
CANBYMN.GOV,City,Non-Federal Agency,City of Canby,Canby,MN,(blank),DMARC1,none,reject,100,r,r,0,mailto:dschrunk@fca-net.com,mailto:dschrunk@fca-net.com,afrf,84600,
CANBYOREGON.GOV,City,Non-Federal Agency,City of Canby,Canby,OR,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CANFIELD.GOV,City,Non-Federal Agency,City of Canfield,Canfield,OH,(blank),DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CANNONFALLSMN.GOV,City,Non-Federal Agency,City of Cannon Falls,Cannon Falls,MN,(blank),null,,,,,,,,,,,
CANTERBURYNH.GOV,City,Non-Federal Agency,Town of Canterbury,Canterbury,NH,townofcanterbury@canterbury-nh.org,null,,,,,,,,,,,
CANTONGA.GOV,City,Non-Federal Agency,City of Canton,Canton,GA,it@cantonga.gov,null,,,,,,,,,,,
CANTONMI.GOV,City,Non-Federal Agency,Canton Township,Canton,MI,(blank),null,,,,,,,,,,,
CANTONMOPOLICE.GOV,City,Non-Federal Agency,Canton Police Department,Canton,MO,jbrewer.cpd@gmail.com,null,,,,,,,,,,,
CANTONMS.GOV,City,Non-Federal Agency,"""City of Canton"," MS - Mayor William Truly""",Canton,MS,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CANTONNY.GOV,City,Non-Federal Agency,Village of Canton,Canton,NY,(blank),null,,,,,,,,,,,
CANTONOHIO.GOV,City,Non-Federal Agency,"""City of Canton"," Ohio""",Canton,OH,null,,,,,,,,,,,
CANTONTWP-OH.GOV,City,Non-Federal Agency,"""Canton Township Board of Trustees - Stark County"," OH""",Canton,OH,null,,,,,,,,,,,
CANTONTX.GOV,City,Non-Federal Agency,"""City of Canton"," Texas""",Canton,TX,null,,,,,,,,,,,
CANYONLAKECA.GOV,City,Non-Federal Agency,City of Canyon Lake,Canyon Lake,CA,(blank),null,,,,,,,,,,,
CANYONTX.GOV,City,Non-Federal Agency,City  of Canyon,Canyon,TX,sholtman@canyontx.com,DMARC1,none,none,100,r,r,1,mailto:dbb4b0379fc8099@rep.dmarcanalyzer.com,mailto:dbb4b0379fc8099@rep.dmarcanalyzer.com,afrf,86400,
CAPECORAL.GOV,City,Non-Federal Agency,City of Cape Coral IT Department,Cape Coral,FL,infosec@capecoral.gov,DMARC1,quarantine,quarantine,100,r,r,0,mailto:systems@capecoral.net,mailto:systems@capecoral.net,afrf,86400,
CAPECORALFL.GOV,City,Non-Federal Agency,City of Cape Coral,Cape Coral,FL,infosec@capecoral.net,null,,,,,,,,,,,
CAPITOLHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Capitol Heights Maryland,Capitol Heights,MD,(blank),null,,,,,,,,,,,
CAREYOHIO.GOV,City,Non-Federal Agency,Village of Carey ,Carey,OH,nathan.curtis@careyohio.org,null,,,,,,,,,,,
CARLISLEMA.GOV,City,Non-Federal Agency,Town of Carlisle,Carlisle,MA,(blank),DMARC1,quarantine,quarantine,100,r,r,1,mailto:c6ok5zolyu@ruf.powerdmarc.com,mailto:c6ok5zolyu@rua.powerdmarc.com,afrf,86400,
CARLSBADCA.GOV,City,Non-Federal Agency,City of Carlsbad,Carlsbad,CA,security@carlsbadca.gov,null,,,,,,,,,,,
CARMELTOWNSHIP-MI.GOV,City,Non-Federal Agency,Carmel Township,Charlotte,MI,(blank),null,,,,,,,,,,,
CARNATIONWA.GOV,City,Non-Federal Agency,City of Carnation,Carnation,WA,(blank),null,,,,,,,,,,,
CARPENTERSVILLEIL.GOV,City,Non-Federal Agency,Village of Carpentersville,Carpentersville,IL,kroberts@cville.org,DMARC1,none,none,100,r,r,0,none,"mailto:kroberts@cville.org,mailto:it@cville.org",afrf,86400,
CARPINTERIACA.GOV,City,Non-Federal Agency,City of Carpinteria,Carpinteria,CA,licettem@ci.carpinteria.ca.us,DMARC1,none,none,100,r,r,1,mailto:foster@policore.com,mailto:foster@policore.com,afrf,86400,
CARRBORONC.GOV,City,Non-Federal Agency,"""Town of Carrboro"," NC""",Carrboro,NC,null,,,,,,,,,,,
CARROLLTON-GA.GOV,City,Non-Federal Agency,City of Carrollton,Carrollton,GA,rrivers@carrollton-ga.gov,null,,,,,,,,,,,
CARROLLTONTX.GOV,City,Non-Federal Agency,City of Carrollton,Carrollton,TX,security@cityofcarrollton.com,null,,,,,,,,,,,
CARSONCA.GOV,City,Non-Federal Agency,"""City of Carson"," California""",Carson,CA,null,,,,,,,,,,,
CARTERLAKE-IA.GOV,City,Non-Federal Agency,City of Carter Lake,Carter Lake,IA,lisa.ruehle@carterlake-ia.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CARTERSVILLEGA.GOV,City,Non-Federal Agency,City of Cartersville,Cartersville,GA,sgrier@cityofcartersville.org,DMARC1,quarantine,quarantine,100,r,r,0,mailto:dmarc_reporting@cartersvillega.gov,"mailto:dmarc_reporting@cartersvillega.gov,mailto:re+95b694a6fcc3@inbound.dmarcdigests.com",afrf,86400,
CARTHAGEMO.GOV,City,Non-Federal Agency,City of Carthage,Carthage,MO,helpdesk@carthagemo.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CARVERMA.GOV,City,Non-Federal Agency,Town of Carver,Carver,MA,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CARYNC.GOV,City,Non-Federal Agency,Town of Cary,Cary,NC,(blank),DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CARYVILLETN.GOV,City,Non-Federal Agency,Caryville Police Department,Caryville,TN,support@hammrtech.com,null,,,,,,,,,,,
CASAGRANDEAZ.GOV,City,Non-Federal Agency,City of Casa Grande,Casa Grande,AZ,noc@casagrandeaz.gov,null,,,,,,,,,,,
CASNOVIATOWNSHIPMI.GOV,City,Non-Federal Agency,Casnovia Township,Casnovia,MI,kps@shumakergroup.com,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CASPERWY.GOV,City,Non-Federal Agency,City of Casper ,Casper,WY,cedwards@casperwy.gov,DMARC1,reject,reject,100,r,r,0,"mailto:dmarc_agg@vali.email,mailto:ahiatt@casperwy.gov,mailto:cedwards@casperwy.gov",mailto:dmarc_agg@vali.email,afrf,86400,
CASSVILLEVLGWI.GOV,City,Non-Federal Agency,Village of Cassville,Cassville,WI,(blank),null,,,,,,,,,,,
CASTANEATOWNSHIPPA.GOV,City,Non-Federal Agency,Castanea Township,Lock Haven,PA,security@kkern.net,null,,,,,,,,,,,
CASTLEHILLS-TX.GOV,City,Non-Federal Agency,City of Castle Hills,Castle Hills,TX,(blank),null,,,,,,,,,,,
CASTLEPINESCO.GOV,City,Non-Federal Agency,City Of Castle Pines,Castle Pines,CO,tobi@castlepinesco.gov,null,,,,,,,,,,,
CASTROVILLETX.GOV,City,Non-Federal Agency,City of Castroville,Castroville,TX,(blank),null,,,,,,,,,,,
CATHEDRALCITY.GOV,City,Non-Federal Agency,City of Cathedral City,Cathedral City,CA,(blank),DMARC1,none,none,100,r,r,0,mailto:mxsec@cathedralcity.gov,mailto:mxsec@cathedralcity.gov,afrf,86400,
CATLETTSBURGKY.GOV,City,Non-Federal Agency,City of Catlettsburg,Catlettsburg,KY,faithday@catlettsburg.us,null,,,,,,,,,,,
CAVALIERND.GOV,City,Non-Federal Agency,City of Cavalier,Cavalier,ND,ktruver@nd.gov,null,,,,,,,,,,,
CAVECREEKAZ.GOV,City,Non-Federal Agency,Town of Cave Creek,Cave Creek,AZ,infotech@cavecreekaz.gov,null,,,,,,,,,,,
CAVESPRINGSAR.GOV,City,Non-Federal Agency,City of Cave Springs,Cave Springs,AR,(blank),null,,,,,,,,,,,
CAYCESC.GOV,City,Non-Federal Agency,City of Cayce,Cayce,SC,webmaster@caycesc.gov,null,,,,,,,,,,,
CDAID.GOV,City,Non-Federal Agency,City of Coeur d'Alene,Coeur d'Alene,ID,abuse@cdaid.org,DMARC1,reject,none,100,r,r,0,none,mailto:re+jr3sjcqqe5b@inbound.dmarcdigests.com,afrf,86400,
CECILGA.GOV,City,Non-Federal Agency,City of Cecil,Cecil,GA,(blank),spf1,error,error,100,r,r,0,none,none,afrf,86400,
CECILTONMD.GOV,City,Non-Federal Agency,Town of Cecilton,Cecilton ,MD,(blank),null,,,,,,,,,,,
CECILTOWNSHIP-PA.GOV,City,Non-Federal Agency,Cecil Township PA,Cecil,PA,(blank),null,,,,,,,,,,,
CEDARHURST.GOV,City,Non-Federal Agency,Inc. Village of Cedarhurst,Cedarhurst,NY,(blank),null,,,,,,,,,,,
CEDARPARKTEXAS.GOV,City,Non-Federal Agency,City of Cedar Park,Cedar Park,TX,(blank),null,,,,,,,,,,,
CEDARTOWNGEORGIA.GOV,City,Non-Federal Agency,City of Cedartown,Cedartown,GA,(blank),null,,,,,,,,,,,
CELINA-TX.GOV,City,Non-Federal Agency,City of Celina,Celina,TX,IT@celina-tx.gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:075b5a78a775536@for.dmarcanalyzer.com,mailto:075b5a78a775536@rep.dmarcanalyzer.com,afrf,86400,
CELINAOHIOPD.GOV,City,Non-Federal Agency,Celina Police Department,Celina,OH,support@twenty9tech.com,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CENTENNIALCO.GOV,City,Non-Federal Agency,CIty of Centennial,Centennial,CO,hhedden@centennialco.gov,null,,,,,,,,,,,
CENTERCO.GOV,City,Non-Federal Agency,Town of Center,Center,CO,(blank),DMARC1,none,none,100,r,r,0,none,mailto:info@centerco.gov,afrf,86400,
CENTERHANCOCKIN.GOV,City,Non-Federal Agency,Center Township Trustee,Greenfield,IN,centertownshiptrustee@gmail.com,null,,,,,,,,,,,
CENTERHARBORNH.GOV,City,Non-Federal Agency,Town of Center Harbor,Center Harbor,NH,tech@lakesregioncomputer.com,null,,,,,,,,,,,
CENTERLINE.GOV,City,Non-Federal Agency,"""City of Center Line"," Michigan""",Center Line,MI,DMARC1,reject,reject,100,r,r,1,mailto:dmarc@itright.com,mailto:dmarc@itright.com,afrf,86400,
CENTERVILLEOHIO.GOV,City,Non-Federal Agency,City of Centerville,Centerville,OH,it@centervilleohio.gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:it@centervilleohio.gov,mailto:it@centervilleohio.gov,afrf,86000,
CENTERVILLETX.GOV,City,Non-Federal Agency,City of Centerville,Centerville,TX,(blank),null,,,,,,,,,,,
CENTERVILLEUTAH.GOV,City,Non-Federal Agency,Centerville City Corp,Centerville,UT,security@centervilleut.com,null,,,,,,,,,,,
CENTERWI.GOV,City,Non-Federal Agency,Town of Center,Appleton,WI,support@townweb.com,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:support@townweb.com,afrf,86400,
CENTRAL-LA.GOV,City,Non-Federal Agency,City of Central,Central,LA,(blank),DMARC1,none,none,100,r,r,0,none,"mailto:dmarc@ibts.org,mailto:dmarc@ibts.org,mailto:dmarc@ibts.org",afrf,86400,
CENTRALCITYIA.GOV,City,Non-Federal Agency,City of Central City,Central City,IA,mayor@centralcityia.gov,null,,,,,,,,,,,
CENTRALFALLSRI.GOV,City,Non-Federal Agency,City of Central Falls RI,Central Falls,RI,(blank),DMARC1,none,none,100,r,r,1,mailto:postmaster@cfpd.centralfallsri.gov,mailto:postmaster@cfpd.centralfallsri.gov,afrf,86400,
CENTRALLAKETOWNSHIPMI.GOV,City,Non-Federal Agency,Central Lake Township,Central Lake,MI,kps@shumakergroup.com,null,,,,,,,,,,,
CENTRALPOINTOREGON.GOV,City,Non-Federal Agency,City of Central Point,Central Point,OR,cp.it@centralpointoregon.gov,null,,,,,,,,,,,
CEREDOWV.GOV,City,Non-Federal Agency,Town of Ceredo,Ceredo,WV,infosec@ceredowv.gov,null,,,,,,,,,,,
CERRITOSCA.GOV,City,Non-Federal Agency,City of Cerritos,Cerritos,CA,abenjamin@cerritos.us,null,,,,,,,,,,,
CGAZ.GOV,City,Non-Federal Agency,City of Casa Grande,Casa Grande,AZ,soc@casagrandeaz.gov,null,,,,,,,,,,,
CHADDSFORDPA.GOV,City,Non-Federal Agency,Chadds Ford Township,Chadds Ford,PA,info@chaddsfordpa.gov,null,,,,,,,,,,,
CHAMBERSBURGPA.GOV,City,Non-Federal Agency,Borough of Chambersburg,Chambersburg,PA,adminit@chambersburgpa.gov,null,,,,,,,,,,,
CHAMBLEEGA.GOV,City,Non-Federal Agency,City of Chamblee,Chamblee,GA,(blank),DMARC1,reject,reject,100,r,r,1,mailto:ruf+chambleega.gov@dmarc.barracudanetworks.com,mailto:rua+chambleega.gov@dmarc.barracudanetworks.com,afrf,86400,
CHAMPAIGN-IL.GOV,City,Non-Federal Agency,City of Champaign,Champaign,IL,(blank),null,,,,,,,,,,,
CHAMPAIGNIL.GOV,City,Non-Federal Agency,City of Champaign,Champaign,IL,(blank),DMARC1,reject,reject,100,r,r,0,mailto:i9jkqpl0@fr.dmarcian.com,mailto:i9jkqpl0@ag.dmarcian.com,afrf,86400,
CHANDLERAZ.GOV,City,Non-Federal Agency,City of Chandler,Chandler,AZ,IT-SecurityNotifications@chandleraz.gov,DMARC1,none,none,100,r,r,1,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_rua@emaildefense.proofpoint.com,afrf,86400,
CHANDLERAZPD.GOV,City,Non-Federal Agency,City of Chandler Police Department,Chandler,AZ,aaron.jones@chandleraz.gov,DMARC1,none,none,100,r,r,0,none,mailto:dmarc-reports@chandlerazpd.gov,afrf,86400,
CHANHASSENMN.GOV,City,Non-Federal Agency,City of Chanhassen,Chanhassen,MN,mis@ci.chanhassen.mn.us,null,,,,,,,,,,,
CHARLESTON-SC.GOV,City,Non-Federal Agency,City of Charleston,Charleston,SC,torresi@charleston-sc.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CHARLESTONWV.GOV,City,Non-Federal Agency,City of Charleston,Charleston,WV,isso@cityofcharleston.org,DMARC1,none,none,100,r,r,1:d:s,mailto:dmarc@cityofcharleston.uriports.com,mailto:dmarc@cityofcharleston.uriports.com,afrf,86400,
CHARLESTOWN-NH.GOV,City,Non-Federal Agency,Town of Charlestown,Charlestown,NH,Ddezan@charlestown-nh.gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:7fd77f02@forensics.dmarc-report.com,mailto:7fd77f02@mxtoolbox.dmarc-report.com,afrf,86400,
CHARLESTOWNRI.GOV,City,Non-Federal Agency,Town of Charlestown,Charlestown,RI,(blank),DMARC1,none,none,100,r,r,1,mailto:ruf+charlestownri.gov@dmarc.barracudanetworks.com,mailto:rua+charlestownri.gov@dmarc.barracudanetworks.com,afrf,86400,
CHARLEVOIXMI.GOV,City,Non-Federal Agency,City of Charlevoix,Charlevoix,MI,(blank),null,,,,,,,,,,,
CHARLOTTEMI.GOV,City,Non-Federal Agency,City of Charlotte,Charlotte,MI,elapere@charlottemi.org,null,,,,,,,,,,,
CHARLOTTENC.GOV,City,Non-Federal Agency,City of Charlotte,Charlotte,NC,steven.fisher@charlottenc.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:postmaster@charlottenc.gov,afrf,86400,
CHARLOTTESVILLE.GOV,City,Non-Federal Agency,City of Charlottesville,Charlottesville,VA,(blank),null,,,,,,,,,,,
CHASKAFIRE.GOV,City,Non-Federal Agency,City of Chaska,Chaska,MN,systems@chaskamn.gov,null,,,,,,,,,,,
CHASKAMN.GOV,City,Non-Federal Agency,City of Chaska,Chaska,MN,systems@chaskamn.gov,null,,,,,,,,,,,
CHASKAPOLICE.GOV,City,Non-Federal Agency,City of Chaska,Chaska,MN,systems@chaskamn.gov,null,,,,,,,,,,,
CHATHAM-MA.GOV,City,Non-Federal Agency,City of Chatham,Chatham,MA,crowe@chatham-ma.gov,null,,,,,,,,,,,
CHATHAM-VA.GOV,City,Non-Federal Agency,Town of Chatham,Chatham,VA,khawker@chatham-va.gov,null,,,,,,,,,,,
CHATHAMIL.GOV,City,Non-Federal Agency,Village of Chatham,Chatham,IL,pmccarthy@chathamil.net,DMARC1,quarantine,quarantine,100,r,r,0,mailto:dmarc@chathamil.gov,mailto:dmarc@chathamil.gov,afrf,86400,
CHATHAMTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Township of Chatham,Chatham,NJ,(blank),null,,,,,,,,,,,
CHATSWORTHGA.GOV,City,Non-Federal Agency,City of Chatsworth,Chatsworth,GA,(blank),null,,,,,,,,,,,
CHATSWORTHIL.GOV,City,Non-Federal Agency,Town of Chatsworth,Chatsworth,IL,support@route24.net,null,,,,,,,,,,,
CHATTAHOOCHEEFL.GOV,City,Non-Federal Agency,City of Chattahoochee,Chattahoochee,FL,(blank),null,,,,,,,,,,,
CHATTANOOGA.GOV,City,Non-Federal Agency,City of Chattanooga,Chattanooga,TN,itsecurity@chattanooga.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:itsecurity@chattanooga.gov,afrf,86400,
CHELMSFORDMA.GOV,City,Non-Federal Agency,"""Town of Chelmsford"," MA""",Chelmsford,MA,DMARC1,quarantine,quarantine,100,r,r,0,mailto:network@chelmsfordma.gov,mailto:network@chelmsfordma.gov,afrf,86400,
CHELSEAMA.GOV,City,Non-Federal Agency,City of Chelsea,Chelsea,MA,rgarcia@chelseama.gov,null,,,,,,,,,,,
CHELSEAOK.GOV,City,Non-Federal Agency,Chelsea Economic Development Authority,Chelsea,OK,kennyweast@sbcglobal.net,null,,,,,,,,,,,
CHELTENHAMPA.GOV,City,Non-Federal Agency,Cheltenham Township,Elkins Park,PA,admins@cheltenham-township.org,null,,,,,,,,,,,
CHENEQUAWI.GOV,City,Non-Federal Agency,Village of Chenequa,Hartland,WI,police@chenequa.org,null,,,,,,,,,,,
CHESAPEAKEBEACHMD.GOV,City,Non-Federal Agency,Town of Chesapeake Beach,Chesapeake Beach,MD,(blank),null,,,,,,,,,,,
CHESAPEAKECITY-MD.GOV,City,Non-Federal Agency,Town of Chesapeake City,Chesapeake City,MD,t.lockwood@chesapeakecity-md.gov,DMARC1,none,none,100,r,r,0,mailto:b59f7658@forensics.dmarc-report.com,"mailto:re+qf32id5klip@dmarc.postmarkapp.com,mailto:b59f7658@mxtoolbox.dmarc-report.com",afrf,86400,
CHESAPEAKEVA.GOV,City,Non-Federal Agency,City of Chesapeake,Chesapeake,VA,securityalerts@cityofchesapeake.net,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
CHESAPEAKEWV.GOV,City,Non-Federal Agency,"""Town of Chesapeake"," WV""",Chesapeake,WV,null,,,,,,,,,,,
CHESHIRE-MA.GOV,City,Non-Federal Agency,Town of Cheshire,Cheshire,MA,(blank),DMARC1,reject,reject,100,r,r,1,mailto:ruf+cheshire-ma.gov@dmarc.barracudanetworks.com,mailto:rua+cheshire-ma.gov@dmarc.barracudanetworks.com,afrf,86400,
CHESTER-NY.GOV,City,Non-Federal Agency,Town of Chester,Chester,NY,(blank),null,,,,,,,,,,,
CHESTERFIELD.GOV,City,Non-Federal Agency,"""Chesterfield County"," VA""",Chesterfield,VA,null,,,,,,,,,,,
CHESTERFIELDTWPNJ.GOV,City,Non-Federal Agency,Chesterfield Township,Chesterfield,NJ,(blank),null,,,,,,,,,,,
CHESTERVT.GOV,City,Non-Federal Agency,Town of Chester,Chester,VT,(blank),null,,,,,,,,,,,
CHESTNUTHILLTWP-PA.GOV,City,Non-Federal Agency,Chestnuthill Township,Brodheadsville,PA,kanderson@ethixa.com,null,,,,,,,,,,,
CHEVERLY-MD.GOV,City,Non-Federal Agency,Town of Cheverly,Cheverly,MD,(blank),null,,,,,,,,,,,
CHEVYCHASEVIEWMD.GOV,City,Non-Federal Agency,Town of Chevy Chase View,Kensington,MD,janacoe@chevychaseview.org,null,,,,,,,,,,,
CHEVYCHASEVILLAGEMD.GOV,City,Non-Federal Agency,Town of Chevy Chase Village,Chevy Chase,MD,(blank),null,,,,,,,,,,,
CHI.GOV,City,Non-Federal Agency,City of Chicago,Chicago,IL,bruce.coffing@cityofchicago.org,null,,,,,,,,,,,
CHICAGO.GOV,City,Non-Federal Agency,City of Chicago,Chicago,IL,Ext_InfoSec@cityofchicago.org,DMARC1,none,none,100,r,r,1,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_rua@emaildefense.proofpoint.com,afrf,86400,
CHICAGOELECTIONS.GOV,City,Non-Federal Agency,Board of Election Commissioners for the City of Chicago,Chicago,IL,infosec@chicagoelections.gov,DMARC1,none,none,100,r,r,0,none,"mailto:infosec@chicagoelections.gov,mailto:eiso@chicagoelections.gov",afrf,86400,
CHICOCA.GOV,City,Non-Federal Agency,City of Chico,Chico,CA,will.mansfield@chicoca.gov,DMARC1,quarantine,quarantine,100,r,r,1,mailto:bjxfl9r8q1@ruf.powerdmarc.com,mailto:bjxfl9r8q1@rua.powerdmarc.com,afrf,86400,
CHICOPEEMA.GOV,City,Non-Federal Agency,City of Chicopee,Chicopee,MA,fcervone@chicopeema.gov,null,,,,,,,,,,,
CHILLICOTHEOH.GOV,City,Non-Federal Agency,"""City of Chillicothe"," Ohio""",Chillicothe,OH,null,,,,,,,,,,,
CHILMARKMA.GOV,City,Non-Federal Agency,Town of Chilmark,Chilmark,MA,townadministrator@chilmarkma.gov,null,,,,,,,,,,,
CHILTONWI.GOV,City,Non-Federal Agency,City of Chilton,Chilton,WI,(blank),null,,,,,,,,,,,
CHINAGROVENC.GOV,City,Non-Federal Agency,The Town of China Grove,China Grove,NC,(blank),null,,,,,,,,,,,
CHINCOTEAGUE-VA.GOV,City,Non-Federal Agency,Town of Chincoteague,Chincoteague,VA,kelly@chincoteague-va.gov,null,,,,,,,,,,,
CHINOHILLS.GOV,City,Non-Federal Agency,City of Chino Hills,Chino Hills,CA,it@chinohills.org,null,,,,,,,,,,,
CHINOOKMT.GOV,City,Non-Federal Agency,City of Chinook,Chinook,MT,wcs@itstriangle.com,null,,,,,,,,,,,
CHINOVALLEYAZ.GOV,City,Non-Federal Agency,Town of Chino Valley,Chino Valley,AZ,security@chinoaz.net,null,,,,,,,,,,,
CHIPPEWAFALLS-WI.GOV,City,Non-Federal Agency,City of Chippewa Falls,Chippewa Falls,WI,(blank),null,,,,,,,,,,,
CHNJ.GOV,City,Non-Federal Agency,Township of Cherry Hill,Cherry Hill,NJ,rgoins@chtownship.com,DMARC1,none,none,100,r,r,1,mailto:cherryhillmail@chtownship.com,mailto:dmarc@chtownship.com,afrf,86400,
CHOCOLAY.GOV,City,Non-Federal Agency,Charter Township of Chocolay,Marquette,MI,dthroenle@chocolay.org,null,,,,,,,,,,,
CHRISTIANSBURGVA.GOV,City,Non-Federal Agency,Town of Christiansburg,Christiansburg,VA,abuse@christiansburg.org,null,,,,,,,,,,,
CHULAVISTACA.GOV,City,Non-Federal Agency,City of Chula Vista,Chula Vista,CA,(blank),DMARC1,none,none,100,r,r,0,mailto:2f2a227d@forensics.dmarc-report.com,mailto:2f2a227d@mxtoolbox.dmarc-report.com,afrf,86400,
CHURCHHILLTN.GOV,City,Non-Federal Agency,City of Church Hill,Church Hill,TN,cityrecorder@churchhilltn.gov,null,,,,,,,,,,,
CIBOLOTX.GOV,City,Non-Federal Agency,City of Cibolo,Cibolo,TX,infotech@cibolotx.gov,null,,,,,,,,,,,
CICERONY.GOV,City,Non-Federal Agency,Town of Cicero,Cicero,NY,websecurity@cicerony.gov,null,,,,,,,,,,,
CINCINNATI-OH.GOV,City,Non-Federal Agency,City of Cincinnati,Cincinnati,OH,TechServMgr@cincinnati-oh.gov,null,,,,,,,,,,,
CINCINNATI.GOV,City,Non-Federal Agency,City of Cincinnati,Cincinnati,OH,CIN.ETSD.SecurityStaff@cincinnati-oh.gov,null,,,,,,,,,,,
CINCY.GOV,City,Non-Federal Agency,City of Cincinnati,Cincinnati,OH,CIN.ETSD.SecurityStaff@cincinnati-oh.gov,null,,,,,,,,,,,
CIRCLEVILLEOH.GOV,City,Non-Federal Agency,City of Circleville,Circleville,OH,mark.bidwell@ci.circleville.oh.us,null,,,,,,,,,,,
CISCOTEXAS.GOV,City,Non-Federal Agency,City of Cisco,Cisco,TX,support@kennedycsi.com,null,,,,,,,,,,,
CITYKANKAKEE-IL.GOV,City,Non-Federal Agency,City of Kankakee IL,Kankakee,IL,jwbillings@citykankakee-il.gov,null,,,,,,,,,,,
CITYOFADAMS-WI.GOV,City,Non-Federal Agency,City of Adams,Adams,WI,(blank),null,,,,,,,,,,,
CITYOFADELGA.GOV,City,Non-Federal Agency,"""City of Adel"," GA""",Adel,GA,null,,,,,,,,,,,
CITYOFAIKENSC.GOV,City,Non-Federal Agency,City of Aiken,Aiken,SC,helpdesk@cityofaikensc.gov,DMARC1,quarantine,quarantine,20,r,r,0,none,mailto:postmaster@cityofaikensc.gov,afrf,86400,
CITYOFALBIONMI.GOV,City,Non-Federal Agency,City of Albion,Albion,MI,skipp@cityofalbionmi.gov,null,,,,,,,,,,,
CITYOFALCOA-TN.GOV,City,Non-Federal Agency,City of Alcoa,Alcoa,TN,(blank),null,,,,,,,,,,,
